rf_train_predictions,rf_train_probs,train_labels
-1,0.28665191024065945,-1
1,0.31203841846472696,1
-1,0.3098975447409407,-1
1,0.36567796209602915,0
-1,0.30304311364335845,-1
0,0.41288206462851773,1
1,0.35864920650403137,1
-1,0.32239690467481324,0
-1,0.2938088136748051,-1
1,0.39708955629483045,0
-1,0.2758928378056355,-1
-1,0.3290937118430839,-1
-1,0.25978128570046183,-1
-1,0.31598619802679206,-1
-1,0.21997569887991436,-1
-1,0.3051184265296245,-1
-1,0.3003124580966099,-1
1,0.3599853629870271,0
1,0.3328847296763067,1
-1,0.2486384414044662,-1
1,0.3239520581019293,1
1,0.3436422487015667,0
1,0.30484733751641613,1
0,0.39848178774029513,1
1,0.36594675324336995,1
1,0.3593874696112862,0
1,0.3273534132452108,0
1,0.32622434136932144,1
-1,0.2236971403488819,-1
1,0.35596856112400344,1
-1,0.22176669602312013,-1
1,0.37246167801403746,1
1,0.36554754316076343,0
-1,0.34968641261477706,-1
-1,0.2781918099654992,-1
1,0.38387770560211876,0
1,0.3586403671520352,0
-1,0.30203453123402885,-1
1,0.3534447060752015,1
-1,0.3242693085459784,0
0,0.350799078155974,1
1,0.3914557062407603,0
0,0.3636788328066784,0
1,0.3628510042578712,0
-1,0.31947108318014344,0
0,0.3878640460188598,0
0,0.3616262733303083,0
0,0.3866200368244235,0
1,0.3503150390653238,1
-1,0.32134861101403567,0
0,0.37449734236448107,0
0,0.38480275650085977,0
-1,0.2302053204840081,-1
1,0.3151703022836381,1
1,0.33584621049030117,1
1,0.35071156718864654,1
1,0.3577229255668534,1
-1,0.25747218003825917,-1
1,0.335081799964496,1
1,0.3697400171581873,1
1,0.34444539568600335,1
1,0.3269749503705253,0
1,0.333066767204845,1
-1,0.26362102431913464,-1
0,0.4550044026668543,0
-1,0.28003491672134817,-1
-1,0.2742477963516611,-1
1,0.32928165765901984,1
0,0.37721567035393344,-1
1,0.31806175516514584,1
-1,0.3279946227628214,0
0,0.38126816296189475,0
1,0.2884836323520556,1
0,0.4389553810271057,0
-1,0.3249471958049765,1
-1,0.24188181788055657,-1
1,0.35823143249909006,1
1,0.3792273636947197,1
0,0.3771501127708394,1
1,0.347612106934156,1
0,0.3879793983325424,1
0,0.34271939596223383,1
0,0.42948007500794433,0
-1,0.22425037583349833,-1
0,0.3586669538590976,0
1,0.36276614547095676,1
1,0.33013823210396914,0
1,0.37976095395619924,0
-1,0.2897223237351322,-1
0,0.39063702512660936,0
1,0.3514896811199259,0
1,0.3794091071313083,1
0,0.4152145820407369,0
1,0.31775753635727466,1
1,0.36597650888853167,1
1,0.3098010554434356,1
-1,0.31211067863388076,0
1,0.39726067477590266,0
-1,0.30757356828005294,-1
1,0.36683000938677596,1
-1,0.26550166776136963,-1
1,0.4113305470091961,1
-1,0.28663621420016233,-1
0,0.39783231394424506,0
-1,0.22280413696711018,-1
0,0.3928284120056755,0
-1,0.3246189403600954,-1
-1,0.35321352128858235,-1
1,0.28724122727882834,1
1,0.363218177683431,0
-1,0.23560984738162813,-1
-1,0.28935932677649245,0
1,0.3337890316304336,1
1,0.3332259838453093,1
-1,0.23197350729018645,-1
-1,0.22794240083472989,-1
1,0.34728961613124776,1
1,0.3570476762468378,1
0,0.4519289123428696,0
-1,0.3107374643252551,-1
0,0.3818898973723786,0
-1,0.31750142648202956,-1
1,0.3191531051274904,0
1,0.38132161452835606,1
-1,0.24244299095196953,-1
0,0.387641900548997,0
0,0.4495659552166947,0
0,0.41705299048269834,1
0,0.3504616480916672,-1
0,0.38781208778348997,0
1,0.31711107941358385,1
-1,0.3092446900851034,-1
0,0.3744984210982373,0
1,0.29023148939354854,1
-1,0.3541854119076715,-1
-1,0.31238742303649664,-1
1,0.3680682297950211,1
0,0.3822656445107554,0
-1,0.3179761990456217,1
1,0.3768004878670289,1
1,0.33197783120648283,1
1,0.3557501851482899,1
0,0.3589539894520123,0
0,0.43745212009417195,0
1,0.34875594463256154,1
-1,0.30901917820027225,-1
1,0.38050838144859367,0
-1,0.2896257320199449,-1
-1,0.31473596598842785,0
-1,0.26652573464398244,-1
1,0.36114782538027945,1
0,0.44619942239238647,0
1,0.33893489774351054,1
-1,0.2654309341681824,-1
0,0.4259596548470757,0
1,0.3219724460956989,1
1,0.33224765472851236,1
1,0.3540431078977454,0
-1,0.32543776789071777,0
1,0.33226197245656913,1
1,0.3718580939691363,1
1,0.31447650158321344,1
1,0.35034843649112285,1
-1,0.21481786484346976,-1
-1,0.24349142064840928,-1
0,0.3872185148288091,-1
0,0.4243753907055806,0
-1,0.33499133554989124,0
0,0.3939842680504863,0
1,0.3766466380710197,1
1,0.3433369625637441,1
1,0.3389199734125981,0
-1,0.27696917152108913,-1
1,0.37975649774850145,1
1,0.3424107072636062,1
1,0.3577644000993335,0
-1,0.3313932630120559,-1
1,0.3266544787241842,1
0,0.3766943094471039,0
1,0.31288022752949,1
0,0.3831981141069942,1
0,0.3450054677662227,0
1,0.3410894301100851,0
1,0.39259180636578433,1
1,0.3842404742009351,1
1,0.32313819854584724,1
-1,0.23812037281535695,-1
1,0.33149312467941594,1
-1,0.2666225548298274,-1
0,0.4247112064131292,0
0,0.4032711331962727,1
-1,0.27046383561858794,-1
1,0.3734589710490154,1
1,0.3533820031910559,0
-1,0.28846514364764203,-1
-1,0.22317883337449362,-1
1,0.329474527668602,1
1,0.3926975714321623,1
0,0.34993448929297616,0
1,0.30552268416005957,0
-1,0.24272390095486432,-1
-1,0.26355298761952506,-1
1,0.35218244852788766,0
1,0.3265576117821005,1
1,0.3425183007966189,0
1,0.37363508748815166,1
-1,0.3098487970204784,-1
-1,0.3322922296076506,-1
-1,0.3034785896968114,-1
-1,0.2210599815529165,-1
-1,0.31439355028284977,0
0,0.4126978435599721,0
-1,0.24950794453910985,-1
1,0.3582365369680119,0
1,0.3455825498061543,1
-1,0.3009089390758416,-1
0,0.3766656399066158,0
1,0.3627946513892497,1
0,0.3467804683670436,0
1,0.36255483437922886,1
1,0.3601123761464,0
-1,0.22469559851760867,-1
0,0.42723169853075055,0
0,0.3777294388692311,0
-1,0.22006312208074047,-1
0,0.4089502731435286,0
1,0.30879793799246463,1
-1,0.317660169064975,0
0,0.3822114882177751,0
-1,0.2992442452579954,-1
1,0.3212635070831453,0
1,0.3106846369246711,1
0,0.3607683771540489,-1
-1,0.2939805492505251,-1
-1,0.29811913957049996,-1
-1,0.2865682679413949,-1
-1,0.28731299625786166,-1
0,0.3555155762205608,0
-1,0.3127992942223866,-1
1,0.35872597151089897,1
-1,0.21269407048920805,-1
-1,0.26423780515292206,-1
0,0.3960328032538033,0
-1,0.24800497581144804,-1
-1,0.29839883738190826,-1
1,0.355003467049919,0
-1,0.3392611347113167,0
0,0.40104549215762925,0
-1,0.31673938327498563,-1
1,0.3223898947880819,1
-1,0.21551764685612881,-1
0,0.3550784220559312,1
1,0.3531271032982699,0
0,0.367133481360742,0
1,0.3087886778799393,1
0,0.41687889495467084,0
-1,0.2321183185528913,-1
-1,0.2935730044196266,-1
0,0.389014571412494,0
1,0.3324924346828495,1
-1,0.217947697011973,-1
-1,0.2991200242593262,-1
-1,0.28544685917691803,-1
1,0.3578553058961776,0
1,0.369357427406356,1
1,0.38951508356671527,1
-1,0.23470290524678833,-1
1,0.41226882940165055,1
0,0.398500090096877,1
-1,0.2753672705195711,-1
1,0.37086484607712167,1
1,0.3536622848143056,0
1,0.32636843572566365,1
0,0.4031572643695617,0
1,0.3306028334589752,1
1,0.3392999903534357,1
1,0.32670002503075,0
0,0.38629189753170423,0
1,0.31891518323857,1
1,0.33093361319604747,1
